project_stage,budget,duration,team_size,industry,status
Seed,375000,0.0,1.0,music,acquired
Growth,40100000,0.0,4.75,enterprise,acquired
Growth,2600000,0.0,4.0,web,acquired
Growth,40000000,0.0,3.3333,software,acquired
Seed,1300000,26.4,1.0,games_video,closed
Growth,7500000,86.73333333333333,3.0,network_hosting,closed
Growth,26000000,0.0,1.6667,software,acquired
Growth,34100000,0.0,3.5,finance,acquired
Growth,9650000,0.0,4.0,mobile,acquired
Growth,5750000,0.0,1.0,web,acquired
Growth,27500000,0.0,1.0,mobile,acquired
Growth,10400000,72.03333333333333,1.75,web,closed
Seed,350000,101.3,1.0,web,closed
Growth,9950000,0.0,2.3333,education,acquired
Growth,10700000,0.0,2.5,software,acquired
Seed,200000,136.8,1.0,public_relations,closed
Growth,49000000,118.4,3.5,security,closed
Growth,25000000,0.0,3.5,games_video,acquired
Growth,4575000,0.0,5.0,web,acquired
Growth,28000000,57.1,1.0,enterprise,closed
Growth,4355000,0.0,1.5,software,acquired
Growth,15000000,94.23333333333333,2.0,other,closed
Growth,3170000,79.9,2.0,web,closed
Growth,2300000,68.0,2.0,mobile,closed
Growth,455000,33.56666666666667,4.5,public_relations,closed
Growth,13000000,0.0,4.0,software,acquired
Growth,15000000,0.0,4.0,public_relations,acquired
Growth,3800000,0.0,2.0,photo_video,acquired
Growth,299500000,0.0,1.75,web,acquired
Seed,1000000,0.0,2.0,hardware,acquired
Growth,10500000,71.46666666666667,2.0,other,closed
Growth,8600000,0.0,1.5,public_relations,acquired
Growth,5000000,65.5,2.5,software,closed
Seed,2304999,0.0,5.0,mobile,acquired
Seed,25000,36.36666666666667,1.0,security,closed
Growth,4000000,51.766666666666666,1.0,software,closed
Growth,14600000,49.6,2.0,software,closed
Growth,44000000,102.43333333333334,4.5,hardware,closed
Growth,1822922,0.0,2.3333,ecommerce,acquired
Growth,29915001,0.0,2.75,advertising,acquired
Growth,33000000,0.0,3.0,enterprise,acquired
Seed,125000,0.0,1.0,mobile,acquired
Growth,4000000,38.03333333333333,1.0,travel,closed
Growth,10000000,0.0,2.0,enterprise,acquired
Growth,6000000,0.0,3.0,advertising,acquired
Growth,25000000,0.0,5.0,software,acquired
Growth,3750000,0.0,2.0,fashion,acquired
Growth,3000000,0.0,1.0,software,acquired
Seed,1155000,0.0,9.5,software,acquired
Growth,10000000,0.0,2.0,software,acquired
Growth,3000000,0.0,1.0,web,acquired
Seed,11500000,0.0,1.0,mobile,acquired
Growth,5000000,0.0,3.0,web,acquired
Growth,29000000,0.0,5.0,public_relations,acquired
Growth,34700000,0.0,5.0,enterprise,acquired
Growth,12050000,60.9,2.0,software,closed
Growth,12000000,0.0,2.0,analytics,acquired
Growth,5500000,0.0,2.0,consulting,acquired
Growth,24000000,0.0,3.3333,software,acquired
Growth,10000000,0.0,4.5,mobile,acquired
Growth,19009671,145.43333333333334,2.0,biotech,closed
Growth,5000000,79.96666666666667,1.0,cleantech,closed
Growth,18914576,0.0,3.0,enterprise,acquired
Seed,4000000,143.03333333333333,3.0,software,closed
Growth,2030882,0.0,3.0,software,acquired
Growth,5000000,0.0,1.0,cleantech,acquired
Seed,20500000,147.13333333333333,4.0,software,closed
Seed,13250000,0.0,2.0,advertising,acquired
Seed,12000000,0.0,2.0,security,acquired
Growth,11489687,0.0,3.3333,advertising,acquired
Growth,4000000,0.0,3.0,web,acquired
Seed,355000,0.0,1.0,software,acquired
Seed,118000,0.0,1.5,web,acquired
Growth,40400000,-23.3,1.6667,advertising,acquired
Growth,3000000,18.666666666666668,1.0,software,closed
Growth,19700000,62.1,4.0,software,closed
Seed,17800000,158.26666666666668,1.0,software,closed
Growth,57500000,0.0,4.0,photo_video,acquired
Growth,17200000,0.0,2.6667,games_video,acquired
Seed,457282,57.8,1.0,mobile,closed
Growth,18500000,0.0,2.25,mobile,acquired
Growth,12000000,56.56666666666667,6.0,cleantech,closed
Seed,510000000,71.03333333333333,2.5,cleantech,closed
Growth,18250000,0.0,2.5,search,acquired
Growth,41500019,0.0,4.0,music,acquired
Growth,1000000,114.33333333333333,3.0,software,closed
Growth,5000000,0.0,1.0,web,acquired
Growth,42700000,150.1,3.6667,cleantech,closed
Seed,12000000,-97.4,9.0,ecommerce,closed
Growth,22300000,0.0,4.5,software,acquired
Growth,10000000,0.0,4.0,semiconductor,acquired
Growth,15564591,60.96666666666667,3.5,advertising,closed
Seed,500000,0.0,5.0,web,acquired
Growth,8950000,0.0,7.0,analytics,acquired
Growth,55350000,0.0,4.0,finance,acquired
Growth,4000000,105.46666666666667,3.0,public_relations,closed
Growth,10764323,0.0,2.0,software,acquired
Seed,5500000,62.233333333333334,3.0,software,closed
Seed,400000,0.0,3.0,social,acquired
Growth,54000000,76.36666666666666,2.6667,cleantech,closed
Growth,32000000,296.26666666666665,7.0,software,closed
Growth,13000000,0.0,4.0,software,acquired
Growth,12500000,0.0,2.3333,software,acquired
Growth,38064570,0.0,3.0,security,acquired
Growth,6000000,50.766666666666666,4.0,web,acquired
Growth,5000000,75.1,1.0,web,closed
Growth,59000000,0.0,2.0,software,acquired
Seed,1000000,24.366666666666667,1.0,web,closed
Seed,600000,0.0,7.0,web,acquired
Growth,125000000,73.03333333333333,2.0,mobile,closed
Growth,2750000,0.0,4.0,web,acquired
Growth,30000000,0.0,2.5,network_hosting,acquired
Growth,7000000,115.83333333333333,1.0,semiconductor,closed
Growth,6100000,0.0,4.0,search,acquired
Seed,2100000,34.733333333333334,4.0,enterprise,closed
Growth,2565000,0.0,3.5,mobile,acquired
Seed,2000000,189.76666666666668,1.0,biotech,closed
Growth,22400000,0.0,3.6667,network_hosting,acquired
Growth,6250000,0.0,1.0,ecommerce,acquired
Seed,575000,0.0,6.0,web,acquired
Seed,53000,29.433333333333334,1.0,web,closed
Growth,9500000,0.0,2.5,ecommerce,acquired
Growth,3500000,44.63333333333333,1.0,enterprise,closed
Growth,10500000,0.0,6.3333,photo_video,acquired
Growth,34250000,0.0,2.25,cleantech,acquired
Growth,85381111,0.0,4.6667,biotech,acquired
Growth,100000000,0.0,2.5,web,acquired
Seed,125000,53.63333333333333,1.0,advertising,closed
